Регион,Несовершеннолетними или при их соучастии 2016,Ранее совершавшими преступления 2016,В том числе ранее судимыми 2016,Группой лиц 2016,Группой лиц по предварительному сговору 2016,Организованной группой 2016,Преступным сообществом (преступной организацией) 2016,В состоянии алкогольного опьянения 2016,В состоянии наркотического опьянения 2016,В состоянии токсического опьянения 2016,Несовершеннолетними или при их соучастии 2017,Ранее совершавшими преступления 2017,В том числе ранее судимыми 2017,Группой лиц 2017,Группой лиц по предварительному сговору 2017,Организованной группой 2017,Преступным сообществом (преступной организацией) 2017,В состоянии алкогольного опьянения 2017,В состоянии наркотического опьянения 2017,В состоянии токсического опьянения 2017,Несовершеннолетними или при их соучастии 2018,Ранее совершавшими преступления 2018,В том числе ранее судимыми 2018,Группой лиц 2018,Группой лиц по предварительному сговору 2018,Организованной группой 2018,Преступным сообществом (преступной организацией) 2018,В состоянии алкогольного опьянения 2018,В состоянии наркотического опьянения 2018,В состоянии токсического опьянения 2018,Несовершеннолетними или при их соучастии 2019,Ранее совершавшими преступления 2019,В том числе ранее судимыми 2019,Группой лиц 2019,Группой лиц по предварительному сговору 2019,Организованной группой 2019,Преступным сообществом (преступной организацией) 2019,В состоянии алкогольного опьянения 2019,В состоянии наркотического опьянения 2019,В состоянии токсического опьянения 2019,Несовершеннолетними или при их соучастии 2020,Ранее совершавшими преступления 2020,В том числе ранее судимыми 2020,Группой лиц 2020,Группой лиц по предварительному сговору 2020,Организованной группой 2020,Преступным сообществом (преступной организацией) 2020,В состоянии алкогольного опьянения 2020,В состоянии наркотического опьянения 2020,В состоянии токсического опьянения 2020,Несовершеннолетними или при их соучастии 2021,Ранее совершавшими преступления 2021,В том числе ранее судимыми 2021,Группой лиц 2021,Группой лиц по предварительному сговору 2021,Организованной группой 2021,Преступным сообществом (преступной организацией) 2021,В состоянии алкогольного опьянения 2021,В состоянии наркотического опьянения 2021,В состоянии токсического опьянения 2021,"Членом семьи, супругом, сожителем, сексуальным партнером (в том числе бывшими) 2021",Из них в отношении женщин 2021,Из них в отношении несовершеннолетних 2021,Иностранными гражданами и лицами без гражданства 2021,Из них гражданами государств – участников СНГ 2021,Из них трудовых мигрантов 2021,Из них незаконных мигрантов 2021
Кировская область,3340,58889,30856,534,4472,246,49,48417,1125,50,2960,55806,29858,394,4530,161,5,41547,598,3,2903,51983,28991,624,4851,801,87,37014,494,9,2956,51374,28598,426,4512,423,577,34761,511,27,3020,48514,28898,272,3768,354,0,31298,313,16,2327,47560,28171,302,3715,397,91,27413,195,11,12520,8558,7197,311,196,44,3
Костромская область,1712,25662,13356,402,3626,609,0,15468,971,2,1393,22981,12220,123,4289,107,97,13157,550,4,1768,21453,11041,94,3299,120,86,13199,349,0,1034,19965,10657,63,3066,99,0,11161,240,12,797,20403,11139,78,2377,122,0,12018,186,0,831,19828,10565,79,2399,233,14,11328,164,0,5417,3724,2640,471,377,21,18
Краснодарский край,7490,136968,69777,884,18118,1215,98,54606,3961,18,6005,132601,68665,869,17292,1421,30,49756,1155,1,5823,124586,66095,565,16493,2392,174,46508,846,16,5598,120366,66370,722,17503,715,116,42147,505,1,5526,122946,68152,533,15959,1057,50,42825,670,14,5221,131483,72889,395,17133,2505,134,39346,765,43,24106,16683,12661,6079,3274,95,101
Красноярский край,12125,139118,64305,1331,16006,1250,2,89953,1796,10,8465,126402,61021,960,11807,1227,167,79794,1375,19,7641,112846,54912,627,10410,2446,0,66211,1017,16,7072,110845,54694,597,10625,2116,66,57510,824,17,6385,109342,54145,545,8866,1676,5,54648,929,5,6409,117735,58971,480,8444,1956,114,53789,834,38,22236,14734,12036,2795,2492,222,111
Курганская область,4424,57328,26856,400,4710,482,24,43526,2158,6,3422,49658,23712,232,4599,667,0,33579,2459,23,4235,46777,23799,130,4773,586,0,29049,1674,34,3144,45551,23712,278,4929,554,0,26542,233,18,2944,46542,21546,143,5369,1671,96,26341,1763,78,2320,39182,18215,94,4503,386,138,22472,64,0,15436,12163,7770,1296,1172,35,878
Курская область,2631,38429,20433,323,4473,147,118,23522,898,0,2076,33535,18141,144,4519,269,0,20828,745,0,1984,33339,19080,154,4397,343,0,18695,477,60,1710,32766,20620,103,4759,133,107,17499,391,0,1837,32794,20120,63,4730,356,630,16712,402,4,1053,32994,21318,61,3633,191,5,15759,358,0,6311,4241,3243,891,424,10,56
Ленинградская область,3075,34113,21670,539,6662,425,0,21187,1805,0,2321,31993,18348,609,5257,644,0,19576,685,9,2618,32655,19621,205,5313,1566,39,19580,672,3,2338,33318,17801,366,5636,641,97,18279,362,29,1903,30806,17090,320,4625,182,91,19073,484,5,1835,30176,15932,362,3628,1337,57,16394,770,6,6263,3727,3107,3299,2671,238,248
Липецкая область,2128,32797,13902,183,2699,412,0,19541,969,0,1674,32987,14384,116,2681,332,67,16476,586,0,1971,31007,14833,123,3168,296,73,15403,176,12,1697,29117,14768,50,2901,192,67,14139,168,0,1610,28296,13100,74,2686,159,140,13548,128,0,1602,32712,16765,101,3238,734,60,14000,229,13,7422,5144,3888,1042,708,186,24
Магаданская область,607,8022,3362,112,535,100,0,5766,206,5,880,7100,3410,175,550,8,0,5004,250,3,559,6276,3188,32,593,0,0,4495,240,0,524,6900,3158,67,402,106,0,4487,197,0,355,6204,3631,55,281,135,60,3947,120,0,589,5257,2775,4,395,69,3,2420,27,0,814,429,368,119,87,49,9
Московская область,6901,158863,107833,3491,23934,2324,224,82298,13636,61,5367,144361,97132,2476,20521,2521,308,74204,12853,14,4833,142656,96917,1694,22387,2712,144,73377,11174,1,4946,146193,103940,1732,21782,3701,238,66098,7716,3,4948,147369,102234,1669,22956,4048,163,64901,4763,0,4537,154012,109075,915,24987,4504,270,61508,4334,0,21028,14673,7886,35786,30974,2540,1529
Мурманская область,3260,33700,16890,218,1966,152,2,18896,343,11,1723,28675,14411,57,1617,132,12,15094,287,16,1774,25769,13077,91,1909,346,0,12620,172,0,1986,27380,14408,134,1994,72,0,12087,196,83,1478,25628,14780,84,1315,130,14,11593,81,11,1640,26687,15415,92,1687,224,78,10003,143,5,5424,3304,3163,754,585,210,34
Ненецкий автономный округ,268,1336,785,15,195,5,0,1556,9,0,222,1261,847,0,246,0,0,1638,38,0,266,2291,1302,24,277,0,0,1790,0,0,256,2024,1108,20,404,0,0,1403,0,0,117,1609,761,23,130,0,0,1432,1,0,87,1573,716,27,172,5,0,1241,0,0,366,235,72,129,129,40,0
Нижегородская область,6736,81821,46152,766,12903,631,108,59243,2368,17,4971,74692,43552,432,10328,910,47,50437,2457,7,4530,77279,46302,331,11554,1082,141,47186,750,21,4697,80819,47863,391,14369,887,0,45676,773,5,4886,82655,49044,268,14058,1832,69,45596,1309,1,3825,81805,48250,287,14544,2070,276,41899,1044,8,15773,11082,7460,3591,2998,92,32
Новгородская  область,2177,23710,15909,225,4775,424,0,16857,333,11,1838,21041,14508,249,3754,210,0,14979,302,9,1896,21711,14329,183,4083,21,0,13765,199,4,1892,18690,12623,142,3268,723,308,12002,118,11,2248,19931,13451,61,3986,520,288,12209,33,2,2018,18588,12101,149,3454,1834,54,9905,179,0,4250,2891,2720,529,419,10,93
Новосибирская область,10595,88573,51980,384,17585,1902,57,55204,3506,1,6873,88291,50505,308,12865,2156,339,49558,2437,0,7301,87012,54207,375,12987,2484,0,44674,1985,2,6240,84879,50615,263,11990,1394,160,38055,1319,64,6883,82875,49324,272,9879,2049,280,33364,1119,21,5723,74347,43609,420,10115,2943,47,31788,1102,0,12669,8348,6731,2772,2600,201,79
Омская область,3606,77606,40312,1049,9898,1795,0,36107,1909,49,2664,70763,37166,1015,8782,1202,8,30885,640,12,2697,71469,39250,536,8051,2319,18,33154,634,5,2179,66143,35075,373,6032,829,46,29122,513,15,1421,63801,35871,393,4774,703,0,29380,435,17,1442,61562,33724,163,4444,1372,8,25519,613,12,10996,7860,4732,1756,1465,46,406
